source_file,data_type,category_l1,category_l2,category_l3,geo,value,unit,year,source_org,report_title,url,note,confidence
data\commercial_sources\phase1_official_stats\asps_plastic_surgery_statistics\2020__procedure_statistics__2020-plastic-surgery-statistics-report.pdf,procedure_volume,Cosmetic minimally invasive procedures,Cosmetic minimally invasive procedures,Intense Pulsed Light (IPL) treatment,United States,827409,procedures,2020,ASPS,2020 ASPS minimally invasive procedure trends,https://www.plasticsurgery.org/documents/news/statistics/2020/plastic-surgery-statistics-full-report-2020.pdf,ASPS official national table extracted from 2020__procedure_statistics__2020-plastic-surgery-statistics-report.pdf; comparator columns remain source-labeled and are not merged with ISAPS.,official_association_report_auto_extracted
data\commercial_sources\phase1_official_stats\asps_plastic_surgery_statistics\2020__procedure_statistics__2020-plastic-surgery-statistics-report.pdf,procedure_volume,Cosmetic minimally invasive procedures,Cosmetic minimally invasive procedures,Laser hair removal,United States,757808,procedures,2020,ASPS,2020 ASPS minimally invasive procedure trends,https://www.plasticsurgery.org/documents/news/statistics/2020/plastic-surgery-statistics-full-report-2020.pdf,ASPS official national table extracted from 2020__procedure_statistics__2020-plastic-surgery-statistics-report.pdf; comparator columns remain source-labeled and are not merged with ISAPS.,official_association_report_auto_extracted
data\commercial_sources\phase1_official_stats\asps_plastic_surgery_statistics\2020__procedure_statistics__2020-plastic-surgery-statistics-report.pdf,procedure_volume,Cosmetic minimally invasive procedures,Cosmetic minimally invasive procedures,Laser skin resurfacing,United States,997245,procedures,2020,ASPS,2020 ASPS minimally invasive procedure trends,https://www.plasticsurgery.org/documents/news/statistics/2020/plastic-surgery-statistics-full-report-2020.pdf,ASPS official national table extracted from 2020__procedure_statistics__2020-plastic-surgery-statistics-report.pdf; comparator columns remain source-labeled and are not merged with ISAPS.,official_association_report_auto_extracted
data\commercial_sources\phase1_official_stats\asps_plastic_surgery_statistics\2020__procedure_statistics__2020-plastic-surgery-statistics-report.pdf,procedure_volume,Cosmetic minimally invasive procedures,Cosmetic minimally invasive procedures,Laser tattoo removal,United States,199945,procedures,2020,ASPS,2020 ASPS minimally invasive procedure trends,https://www.plasticsurgery.org/documents/news/statistics/2020/plastic-surgery-statistics-full-report-2020.pdf,ASPS official national table extracted from 2020__procedure_statistics__2020-plastic-surgery-statistics-report.pdf; comparator columns remain source-labeled and are not merged with ISAPS.,official_association_report_auto_extracted
data\commercial_sources\phase1_official_stats\asps_plastic_surgery_statistics\2020__procedure_statistics__2020-plastic-surgery-statistics-report.pdf,procedure_volume,Cosmetic minimally invasive procedures,Cosmetic minimally invasive procedures,Laser treatment of leg veins,United States,168682,procedures,2020,ASPS,2020 ASPS minimally invasive procedure trends,https://www.plasticsurgery.org/documents/news/statistics/2020/plastic-surgery-statistics-full-report-2020.pdf,ASPS official national table extracted from 2020__procedure_statistics__2020-plastic-surgery-statistics-report.pdf; comparator columns remain source-labeled and are not merged with ISAPS.,official_association_report_auto_extracted
data\commercial_sources\phase1_official_stats\asps_plastic_surgery_statistics\2020__procedure_statistics__2020-plastic-surgery-statistics-report.pdf,procedure_volume,Cosmetic minimally invasive procedures,Cosmetic minimally invasive procedures,Microdermabrasion,United States,522693,procedures,2020,ASPS,2020 ASPS minimally invasive procedure trends,https://www.plasticsurgery.org/documents/news/statistics/2020/plastic-surgery-statistics-full-report-2020.pdf,ASPS official national table extracted from 2020__procedure_statistics__2020-plastic-surgery-statistics-report.pdf; comparator columns remain source-labeled and are not merged with ISAPS.,official_association_report_auto_extracted
data\commercial_sources\phase1_official_stats\asps_plastic_surgery_statistics\2020__procedure_statistics__2020-plastic-surgery-statistics-report.pdf,procedure_volume,Cosmetic minimally invasive procedures,Cosmetic minimally invasive procedures,"Non-ablative (Fraxel™, etc.)",United States,566739,procedures,2020,ASPS,2020 ASPS minimally invasive procedure trends,https://www.plasticsurgery.org/documents/news/statistics/2020/plastic-surgery-statistics-full-report-2020.pdf,ASPS official national table extracted from 2020__procedure_statistics__2020-plastic-surgery-statistics-report.pdf; comparator columns remain source-labeled and are not merged with ISAPS.,official_association_report_auto_extracted
data\commercial_sources\phase1_official_stats\asps_plastic_surgery_statistics\2020__procedure_statistics__2020-plastic-surgery-statistics-report.pdf,procedure_volume,Cosmetic minimally invasive procedures,Cosmetic minimally invasive procedures,"Non-invasive fat reduction (Coolsculpting™, Liposonix™, Emsculpt™, Vanquish™, Zerona™)",United States,357938,procedures,2020,ASPS,2020 ASPS minimally invasive procedure trends,https://www.plasticsurgery.org/documents/news/statistics/2020/plastic-surgery-statistics-full-report-2020.pdf,ASPS official national table extracted from 2020__procedure_statistics__2020-plastic-surgery-statistics-report.pdf; comparator columns remain source-labeled and are not merged with ISAPS.,official_association_report_auto_extracted
data\commercial_sources\phase1_official_stats\asps_plastic_surgery_statistics\2020__procedure_statistics__2020-plastic-surgery-statistics-report.pdf,procedure_volume,Cosmetic minimally invasive procedures,Cosmetic minimally invasive procedures,"Non-surgical skin tightening (Pelleve™, Thermage™, Ulthera™)",United States,188509,procedures,2020,ASPS,2020 ASPS minimally invasive procedure trends,https://www.plasticsurgery.org/documents/news/statistics/2020/plastic-surgery-statistics-full-report-2020.pdf,ASPS official national table extracted from 2020__procedure_statistics__2020-plastic-surgery-statistics-report.pdf; comparator columns remain source-labeled and are not merged with ISAPS.,official_association_report_auto_extracted
data\commercial_sources\phase1_official_stats\asps_plastic_surgery_statistics\2020__procedure_statistics__2020-plastic-surgery-statistics-report.pdf,procedure_volume,Cosmetic minimally invasive procedures,Cosmetic minimally invasive procedures,Platelet-Rich Plasma (PRP),United States,231140,procedures,2020,ASPS,2020 ASPS minimally invasive procedure trends,https://www.plasticsurgery.org/documents/news/statistics/2020/plastic-surgery-statistics-full-report-2020.pdf,ASPS official national table extracted from 2020__procedure_statistics__2020-plastic-surgery-statistics-report.pdf; comparator columns remain source-labeled and are not merged with ISAPS.,official_association_report_auto_extracted
data\commercial_sources\phase1_official_stats\asps_plastic_surgery_statistics\2020__procedure_statistics__2020-plastic-surgery-statistics-report.pdf,procedure_volume,Cosmetic minimally invasive procedures,Cosmetic minimally invasive procedures,Polylactic acid (Sculptra™),United States,134123,procedures,2020,ASPS,2020 ASPS minimally invasive procedure trends,https://www.plasticsurgery.org/documents/news/statistics/2020/plastic-surgery-statistics-full-report-2020.pdf,ASPS official national table extracted from 2020__procedure_statistics__2020-plastic-surgery-statistics-report.pdf; comparator columns remain source-labeled and are not merged with ISAPS.,official_association_report_auto_extracted
data\commercial_sources\phase1_official_stats\asps_plastic_surgery_statistics\2020__procedure_statistics__2020-plastic-surgery-statistics-report.pdf,procedure_volume,Cosmetic minimally invasive procedures,Cosmetic minimally invasive procedures,Polymethyl-methacrylate microspheres (Bellafill™),United States,70989,procedures,2020,ASPS,2020 ASPS minimally invasive procedure trends,https://www.plasticsurgery.org/documents/news/statistics/2020/plastic-surgery-statistics-full-report-2020.pdf,ASPS official national table extracted from 2020__procedure_statistics__2020-plastic-surgery-statistics-report.pdf; comparator columns remain source-labeled and are not merged with ISAPS.,official_association_report_auto_extracted
