source_file,data_type,category_l1,category_l2,category_l3,geo,value,unit,year,source_org,report_title,url,note,confidence
https://www.jsaps.com/explore/pdf/explore2021.pdf,procedure_volume,Injectables,Hyaluronic Acid,,Japan,66712,procedures,2020,JSAPS,JSAPS 4th National Survey of Aesthetic Medical Procedures public report,https://www.jsaps.com/explore/4th.html,JSAPS local item from public PDF extraction; 2021 PDF structure pending QA; keep parallel to ISAPS.,official_association_report_local_japan
https://www.jsaps.com/explore/pdf/explore2021.pdf,procedure_volume,Injectables,Breast HA augmentation,,Japan,2131,procedures,2020,JSAPS,JSAPS 4th National Survey of Aesthetic Medical Procedures public report,https://www.jsaps.com/explore/4th.html,JSAPS local item from public PDF extraction; 2021 PDF structure pending QA; keep parallel to ISAPS.,official_association_report_local_japan
https://www.jsaps.com/explore/pdf/explore2021.pdf,procedure_volume,Injectables,Collagen,,Japan,1145,procedures,2020,JSAPS,JSAPS 4th National Survey of Aesthetic Medical Procedures public report,https://www.jsaps.com/explore/4th.html,JSAPS local item from public PDF extraction; 2021 PDF structure pending QA; keep parallel to ISAPS.,official_association_report_local_japan
https://www.jsaps.com/explore/pdf/explore2021.pdf,procedure_volume,Injectables,Poly-L-Lactic Acid,,Japan,4,procedures,2020,JSAPS,JSAPS 4th National Survey of Aesthetic Medical Procedures public report,https://www.jsaps.com/explore/4th.html,JSAPS local item from public PDF extraction; 2021 PDF structure pending QA; keep parallel to ISAPS.,official_association_report_local_japan
https://www.jsaps.com/explore/pdf/explore2021.pdf,procedure_volume,Facial rejuvenation,Chemical Peel single treatment,,Japan,3009,procedures,2020,JSAPS,JSAPS 4th National Survey of Aesthetic Medical Procedures public report,https://www.jsaps.com/explore/4th.html,JSAPS local item from public PDF extraction; 2021 PDF structure pending QA; keep parallel to ISAPS.,official_association_report_local_japan
https://www.jsaps.com/explore/pdf/explore2021.pdf,procedure_volume,Facial rejuvenation,Chemical Peel repeated treatment,,Japan,38147,procedures,2020,JSAPS,JSAPS 4th National Survey of Aesthetic Medical Procedures public report,https://www.jsaps.com/explore/4th.html,JSAPS local item from public PDF extraction; 2021 PDF structure pending QA; keep parallel to ISAPS.,official_association_report_local_japan
https://www.jsaps.com/explore/pdf/explore2021.pdf,procedure_volume,Facial rejuvenation,Nonsurgical Skin Tightening,,Japan,109112,procedures,2020,JSAPS,JSAPS 4th National Survey of Aesthetic Medical Procedures public report,https://www.jsaps.com/explore/4th.html,JSAPS local item from public PDF extraction; 2021 PDF structure pending QA; keep parallel to ISAPS.,official_association_report_local_japan
https://www.jsaps.com/explore/pdf/explore2021.pdf,procedure_volume,Facial rejuvenation,Photo Rejuvenation IPL,,Japan,47773,procedures,2020,JSAPS,JSAPS 4th National Survey of Aesthetic Medical Procedures public report,https://www.jsaps.com/explore/4th.html,JSAPS local item from public PDF extraction; 2021 PDF structure pending QA; keep parallel to ISAPS.,official_association_report_local_japan
https://www.jsaps.com/explore/pdf/explore2021.pdf,procedure_volume,Other non-surgical,Hair Removal,,Japan,387793,procedures,2020,JSAPS,JSAPS 4th National Survey of Aesthetic Medical Procedures public report,https://www.jsaps.com/explore/4th.html,JSAPS local item from public PDF extraction; 2021 PDF structure pending QA; keep parallel to ISAPS.,official_association_report_local_japan
https://www.jsaps.com/explore/pdf/explore2021.pdf,procedure_volume,Other non-surgical,Non-surgical Fat Reduction,,Japan,64340,procedures,2020,JSAPS,JSAPS 4th National Survey of Aesthetic Medical Procedures public report,https://www.jsaps.com/explore/4th.html,JSAPS local item from public PDF extraction; 2021 PDF structure pending QA; keep parallel to ISAPS.,official_association_report_local_japan
https://www.jsaps.com/explore/pdf/explore2021.pdf,procedure_volume,Regenerative,Cell-based regenerative therapy,,Japan,1050,procedures,2020,JSAPS,JSAPS 4th National Survey of Aesthetic Medical Procedures public report,https://www.jsaps.com/explore/4th.html,JSAPS local item from public PDF extraction; 2021 PDF structure pending QA; keep parallel to ISAPS.,official_association_report_local_japan
https://www.jsaps.com/explore/pdf/explore2021.pdf,procedure_volume,Regenerative,PRP regenerative therapy,,Japan,2109,procedures,2020,JSAPS,JSAPS 4th National Survey of Aesthetic Medical Procedures public report,https://www.jsaps.com/explore/4th.html,JSAPS local item from public PDF extraction; 2021 PDF structure pending QA; keep parallel to ISAPS.,official_association_report_local_japan
https://www.jsaps.com/explore/pdf/explore2021.pdf,procedure_volume,Regenerative,Non-PRP regenerative injection,,Japan,43932,procedures,2020,JSAPS,JSAPS 4th National Survey of Aesthetic Medical Procedures public report,https://www.jsaps.com/explore/4th.html,JSAPS local item from public PDF extraction; 2021 PDF structure pending QA; keep parallel to ISAPS.,official_association_report_local_japan
https://www.jsaps.com/explore/pdf/explore2023.pdf,procedure_volume,All procedures,Local survey total procedures,,Japan,3271059,procedures,2022,JSAPS,JSAPS 6th National Survey of Aesthetic Medical Procedures public report,https://www.jsaps.com/explore/6th.html,JSAPS Japan local survey line; procedure count not patient cases; keep parallel to ISAPS global comparable backbone.,official_association_report_local_japan
