source_id,source_org,source_page,source_page_title,link_text,url,canonical_url,year,artifact_type,topic,status,http_status,content_type,local_path,sha256,bytes,captured_at,note
aesthetic_society_statistics,The Aesthetic Society,https://www.theaestheticsociety.org/media/procedural-statistics,Aesthetic Society Procedural Statistics | The Aesthetic Society,2006 Aesthetic Plastic Surgery Statistics,https://cdn.theaestheticsociety.org/media/statistics/2006-TheAestheticSocietyStatistics.pdf,https://cdn.theaestheticsociety.org/media/statistics/2006-TheAestheticSocietyStatistics.pdf,2006,pdf,procedure_statistics,downloaded,,application/pdf,data\commercial_sources\phase1_official_stats\aesthetic_society_statistics\2006__procedure_statistics__2006-aesthetic-plastic-surgery-statistics.pdf,6610e7898aa880851a9fe934a5aa1df9e53b74bf40248bcd97291a116bd6996d,3337390,2026-06-20T02:58:06+08:00,
aesthetic_society_statistics,The Aesthetic Society,https://www.theaestheticsociety.org/media/procedural-statistics,Aesthetic Society Procedural Statistics | The Aesthetic Society,2007 Aesthetic Plastic Surgery Statistics,https://cdn.theaestheticsociety.org/media/statistics/2007-TheAestheticSocietyStatistics.pdf,https://cdn.theaestheticsociety.org/media/statistics/2007-TheAestheticSocietyStatistics.pdf,2007,pdf,procedure_statistics,downloaded,,application/pdf,data\commercial_sources\phase1_official_stats\aesthetic_society_statistics\2007__procedure_statistics__2007-aesthetic-plastic-surgery-statistics.pdf,2697a1a205bafd61b9d27ff0ff81d6bd21a143c7e68ddb1cc25d90f4e69ee38f,1674826,2026-06-20T02:58:04+08:00,
aesthetic_society_statistics,The Aesthetic Society,https://www.theaestheticsociety.org/media/procedural-statistics,Aesthetic Society Procedural Statistics | The Aesthetic Society,2008 Aesthetic Plastic Surgery Statistics,https://cdn.theaestheticsociety.org/media/statistics/2008-TheAestheticSocietyStatistics.pdf,https://cdn.theaestheticsociety.org/media/statistics/2008-TheAestheticSocietyStatistics.pdf,2008,pdf,procedure_statistics,downloaded,,application/pdf,data\commercial_sources\phase1_official_stats\aesthetic_society_statistics\2008__procedure_statistics__2008-aesthetic-plastic-surgery-statistics.pdf,94a29348e7df5221a9bef6954eed34125f13336ba127fed758d84b1e05e34d52,2184241,2026-06-20T02:58:03+08:00,
aesthetic_society_statistics,The Aesthetic Society,https://www.theaestheticsociety.org/media/procedural-statistics,Aesthetic Society Procedural Statistics | The Aesthetic Society,2009 Aesthetic Plastic Surgery Statistics,https://cdn.theaestheticsociety.org/media/statistics/2009-TheAestheticSocietyStatistics.pdf,https://cdn.theaestheticsociety.org/media/statistics/2009-TheAestheticSocietyStatistics.pdf,2009,pdf,procedure_statistics,downloaded,,application/pdf,data\commercial_sources\phase1_official_stats\aesthetic_society_statistics\2009__procedure_statistics__2009-aesthetic-plastic-surgery-statistics.pdf,bcaabc6375ed4c27d6ba295631eeee52e1fd648177bee603e27011243bb30d51,2591955,2026-06-20T02:58:01+08:00,
aesthetic_society_statistics,The Aesthetic Society,https://www.theaestheticsociety.org/media/procedural-statistics,Aesthetic Society Procedural Statistics | The Aesthetic Society,2010 Aesthetic Plastic Surgery Statistics,https://cdn.theaestheticsociety.org/media/statistics/2010-TheAestheticSocietyStatistics.pdf,https://cdn.theaestheticsociety.org/media/statistics/2010-TheAestheticSocietyStatistics.pdf,2010,pdf,procedure_statistics,downloaded,,application/pdf,data\commercial_sources\phase1_official_stats\aesthetic_society_statistics\2010__procedure_statistics__2010-aesthetic-plastic-surgery-statistics.pdf,119b161be68d00790d20e678af42eb365b4126c0b98d805fa325155754242c24,3976094,2026-06-20T02:57:59+08:00,
aesthetic_society_statistics,The Aesthetic Society,https://www.theaestheticsociety.org/media/procedural-statistics,Aesthetic Society Procedural Statistics | The Aesthetic Society,2011 Aesthetic Plastic Surgery Statistics,https://cdn.theaestheticsociety.org/media/statistics/2011-TheAestheticSocietyStatistics.pdf,https://cdn.theaestheticsociety.org/media/statistics/2011-TheAestheticSocietyStatistics.pdf,2011,pdf,procedure_statistics,downloaded,,application/pdf,data\commercial_sources\phase1_official_stats\aesthetic_society_statistics\2011__procedure_statistics__2011-aesthetic-plastic-surgery-statistics.pdf,47297e84c7cb5e49728cca78806c26039a0ca7e73383e6e23d581495ab1b4b1f,5346286,2026-06-20T02:57:58+08:00,
aesthetic_society_statistics,The Aesthetic Society,https://www.theaestheticsociety.org/media/procedural-statistics,Aesthetic Society Procedural Statistics | The Aesthetic Society,2012 Aesthetic Plastic Surgery Statistics,https://cdn.theaestheticsociety.org/media/statistics/2012-TheAestheticSocietyStatistics.pdf,https://cdn.theaestheticsociety.org/media/statistics/2012-TheAestheticSocietyStatistics.pdf,2012,pdf,procedure_statistics,downloaded,,application/pdf,data\commercial_sources\phase1_official_stats\aesthetic_society_statistics\2012__procedure_statistics__2012-aesthetic-plastic-surgery-statistics.pdf,7b76d7f5930a9be33b6a1049727c3356393f8f1411ffdeb461598c0fbe3a60c0,1141874,2026-06-20T02:57:56+08:00,
aesthetic_society_statistics,The Aesthetic Society,https://www.theaestheticsociety.org/media/procedural-statistics,Aesthetic Society Procedural Statistics | The Aesthetic Society,2013 Aesthetic Plastic Surgery Statistics,https://cdn.theaestheticsociety.org/media/statistics/2013-TheAestheticSocietyStatistics.pdf,https://cdn.theaestheticsociety.org/media/statistics/2013-TheAestheticSocietyStatistics.pdf,2013,pdf,procedure_statistics,downloaded,,application/pdf,data\commercial_sources\phase1_official_stats\aesthetic_society_statistics\2013__procedure_statistics__2013-aesthetic-plastic-surgery-statistics.pdf,390d29a5a4f394bfc16f17002c08459c8e6417444191a4f0b2df3f2e37e07ec1,1645325,2026-06-20T02:57:54+08:00,
aesthetic_society_statistics,The Aesthetic Society,https://www.theaestheticsociety.org/media/procedural-statistics,Aesthetic Society Procedural Statistics | The Aesthetic Society,2014 Aesthetic Plastic Surgery Statistics,https://cdn.theaestheticsociety.org/media/statistics/2014-TheAestheticSocietyStatistics.pdf,https://cdn.theaestheticsociety.org/media/statistics/2014-TheAestheticSocietyStatistics.pdf,2014,pdf,procedure_statistics,downloaded,,application/pdf,data\commercial_sources\phase1_official_stats\aesthetic_society_statistics\2014__procedure_statistics__2014-aesthetic-plastic-surgery-statistics.pdf,c385a34c30f35246b7cdbc801d3ac842bae4e00f2a7dd04c8f6352d3a10502b5,1133814,2026-06-20T02:57:53+08:00,
aesthetic_society_statistics,The Aesthetic Society,https://www.theaestheticsociety.org/media/procedural-statistics,Aesthetic Society Procedural Statistics | The Aesthetic Society,2015 Aesthetic Plastic Surgery Statistics,https://cdn.theaestheticsociety.org/media/statistics/2015-TheAestheticSocietyStatistics.pdf,https://cdn.theaestheticsociety.org/media/statistics/2015-TheAestheticSocietyStatistics.pdf,2015,pdf,procedure_statistics,downloaded,,application/pdf,data\commercial_sources\phase1_official_stats\aesthetic_society_statistics\2015__procedure_statistics__2015-aesthetic-plastic-surgery-statistics.pdf,142fc5c30f939adc184f10e2082c0a376064f7770644f16d77e87e7245a7d1a3,1165112,2026-06-20T02:57:51+08:00,
