file,backup,rows_unlinked,by_original_product_id
E:\shared\Documents\data\global_aesthetics_dashboard\data\manual_product_fact_evidence.csv,E:\shared\Documents\data\global_aesthetics_dashboard\data\manual_product_fact_evidence_backup_before_excluded_product_unlink_20260601_012632.csv,36,"{""prod_a55cc60a5d01"": 23, ""prod_167cd4804103"": 13}"
E:\shared\Documents\data\global_aesthetics_dashboard\data\manual_evidence_promotion_log.csv,E:\shared\Documents\data\global_aesthetics_dashboard\data\manual_evidence_promotion_log_backup_before_excluded_product_unlink_20260601_012632.csv,36,"{""prod_a55cc60a5d01"": 23, ""prod_167cd4804103"": 13}"
E:\shared\Documents\data\global_aesthetics_dashboard\data\product_specification_evidence.csv,E:\shared\Documents\data\global_aesthetics_dashboard\data\product_specification_evidence_backup_before_excluded_product_unlink_20260601_012632.csv,22,"{""prod_a55cc60a5d01"": 22}"
