seed_record_id,product_id,company,brand,standard_product_name,action_group,reason,source_url
REC_0793,prod_484f03027c12,NOBAMEDI,便携式电子注射枪,便携式电子注射枪,B_need_new_official_ifu_or_product_page,no_clear_official_indication_phrase_in_existing_manual_evidence,
REC_0792,prod_a92cb8b2a29b,NOBAMEDI,智能负压水光仪,智能负压水光仪,B_need_new_official_ifu_or_product_page,no_clear_official_indication_phrase_in_existing_manual_evidence,
REC_0794,prod_76db8bfa1f7f,NOBAMEDI,笔式微针注射器,笔式微针注射器,B_need_new_official_ifu_or_product_page,no_clear_official_indication_phrase_in_existing_manual_evidence,
REC_0795,prod_07a193dfa02a,NOBAMEDI,针头,针头,B_need_new_official_ifu_or_product_page,no_clear_official_indication_phrase_in_existing_manual_evidence,
REC_0790,prod_6169eec64290,Needle Concept,柔性钝针 (Flexible Microcannula),柔性钝针 (Flexible Microcannula),B_need_new_official_ifu_or_product_page,no_clear_official_indication_phrase_in_existing_manual_evidence,
REC_0481,prod_c127129a8dd6,NeoDr,Neo Thread,Multi Thread (Twin/Triple),B_need_new_official_ifu_or_product_page,no_clear_official_indication_phrase_in_existing_manual_evidence,
REC_0597,prod_ecb2d81aa136,Neogenesis,Regenovue,Regenovue (Deep/Sub-Q),B_need_new_official_ifu_or_product_page,no_clear_official_indication_phrase_in_existing_manual_evidence,
REC_0411,prod_f5332f3a5753,Newpong,LSSA,LSSA (Liposculpture),B_need_new_official_ifu_or_product_page,no_clear_official_indication_phrase_in_existing_manual_evidence,
REC_0080,prod_52b69899fa6b,Nexgen Bio,Biometics,Spider Cream / Toxin,B_need_new_official_ifu_or_product_page,no_clear_official_indication_phrase_in_existing_manual_evidence,
REC_0507,prod_e95d844f09d8,Nunii Laboratoire,Nunii,Nunii professional peels and uniq-white pigmentation treatment,B_need_new_official_ifu_or_product_page,no_clear_official_indication_phrase_in_existing_manual_evidence,
REC_0057,prod_a8c428e8f3ec,Ostin Bio,Audrey,Audrey (H/S/M) / Body,B_need_new_official_ifu_or_product_page,no_clear_official_indication_phrase_in_existing_manual_evidence,
REC_0093,prod_3ee70ed6dbfb,Ostin Bio,B-OstIN,B-OstIN,B_need_new_official_ifu_or_product_page,no_clear_official_indication_phrase_in_existing_manual_evidence,
REC_0530,prod_57a9b9ffdde9,Palomar Medical,Palomar,Vectus / Icon,B_need_new_official_ifu_or_product_page,no_clear_official_indication_phrase_in_existing_manual_evidence,
REC_0262,prod_d6af2a1ed735,Primoris International,ExoHealer,ExoHealer / Filcore,B_need_new_official_ifu_or_product_page,no_clear_official_indication_phrase_in_existing_manual_evidence,
