priority,gap_score,company,company_product_count,company_priority_rank,brand,standard_product_name,product_id,seed_record_id,product_family_ids,track,form,technology,material_or_energy,verification_status,source_status,direct_official_urls,fuzzy_official_urls,direct_spec_candidates,fuzzy_spec_candidates,spec_tier_A,spec_tier_B,spec_tier_C,registration_rows,official_indication_rows,mdr_ce_candidate_rows,lead_official_url,lead_spec_url,lead_registration_url,evidence_mix,issues,recommended_next_action
P2,32,CGBIO / Cell Growth Bio,7,,CGBIO HA Filler,CGBIO NMPA HA filler (deep dermis/subcutaneous),prod_dab4456d0074,REC_1027,pf_5a546db47018,Injectables,Dermal Filler,Hyaluronic Acid,Hyaluronic Acid,official_evidence_promoted,"seed_from_workbook, official_evidence_promoted",0,0,0,0,0,0,0,1,1,0,,,https://mp.weixin.qq.com/s/0NiHLEMxBuJgpZmpo6anKw,registration_project_nmpa_supplement_product_line:1; official_nmpa_record_user_directed_product_line:1,no_direct_official_product_or_family_url | no_direct_spec_candidate,Keep as lower-priority monitoring item.
P2,32,Forest Hills Lab Korea,1,,Rejeunesse,Rejeunesse NMPA HA Filler,prod_fe4548278050,REC_1035,pf_aa0ab2f0cb71,Injectables,Dermal Filler,Hyaluronic Acid,Hyaluronic Acid,official_evidence_promoted,"seed_from_workbook, official_evidence_promoted",0,0,0,0,0,0,0,1,1,0,,,https://mp.weixin.qq.com/s/0NiHLEMxBuJgpZmpo6anKw,registration_project_nmpa_supplement_product_line:1; official_nmpa_record_user_directed_product_line:1,no_direct_official_product_or_family_url | no_direct_spec_candidate,Keep as lower-priority monitoring item.
P2,32,Hafod Bioscience B.V.,1,,ArteColl,ArteColl collagen/PMMA subcutaneous implant system,prod_270b976d99a0,REC_1037,pf_9b04efde950e,Injectables,Dermal Filler,PMMA / Collagen,PMMA / Collagen,official_evidence_promoted,"seed_from_workbook, official_evidence_promoted",0,0,0,0,0,0,0,1,1,0,,,https://mp.weixin.qq.com/s/bge82pQPbTp_0khKEVUXaw,registration_project_nmpa_supplement_product_line:1; official_nmpa_record_user_directed_product_line:1,no_direct_official_product_or_family_url | no_direct_spec_candidate,Keep as lower-priority monitoring item.
P2,32,Huons BioPharma,1,,HUTOX,HUTOX 100U Botulinum Toxin Type A,prod_4379c6237efa,REC_1038,pf_f3bac1e7c040,Injectables,Neurotoxin,Botulinum Toxin A,Botulinum Toxin A,official_evidence_promoted,"seed_from_workbook, official_evidence_promoted",0,0,0,0,0,0,0,1,1,0,,,https://finance.sina.com.cn/roll/2026-01-08/doc-inhfreqm6514541.shtml,registration_project_nmpa_supplement_product_line:1; official_nmpa_record_user_directed_product_line:1,no_direct_official_product_or_family_url | no_direct_spec_candidate,Keep as lower-priority monitoring item.
P2,32,PRP Science,1,,Olidia,Olidia / 爱唯缇 PLLA facial filler,prod_0393dd76da33,REC_0515,pf_84d1a9dca6c2,Injectables,Biostimulator,PLLA,PLLA,official_evidence_promoted,"seed_from_workbook, official_evidence_promoted",0,0,0,0,0,0,0,1,1,0,,,https://mp.weixin.qq.com/s?__biz=MzIyMDEzNzE3NQ==&mid=2649626559&idx=1&sn=dfbf04d3a96de1ad3c97e3b5f7b26be9&chksm=8eb83beb55b6923c75a005f146f5726783f17d9adabe2fc432abd1a851f0db1a40a6f42574ee&mpshare=1&scene=24&srcid=0504GRcPNjQfByNWbwqWuV8x&sharer_shareinfo=d013d2d849ed18db09325f6226830bce&sharer_shareinfo_first=d013d2d849ed18db09325f6226830bce#rd,registration_project_nmpa_supplement_product_line:1; official_nmpa_record_user_directed_product_line:1,no_direct_official_product_or_family_url | no_direct_spec_candidate,Keep as lower-priority monitoring item.
P2,32,S&V Technologies GmbH,1,,amalian SF,amalian SF line Dermal Implants,prod_e95c063a28e2,REC_1036,pf_b517401ad65f,Injectables,Dermal Filler,Hyaluronic Acid,Hyaluronic Acid,official_evidence_promoted,"seed_from_workbook, official_evidence_promoted",0,0,0,0,0,0,0,1,1,0,,,https://mp.weixin.qq.com/s/0NiHLEMxBuJgpZmpo6anKw,registration_project_nmpa_supplement_product_line:1; official_nmpa_record_user_directed_product_line:1,no_direct_official_product_or_family_url | no_direct_spec_candidate,Keep as lower-priority monitoring item.
P2,32,"SCL CO., LTD.",1,,A-Viearchee,A-Viearchee HA Filler,prod_92ea4756fe77,REC_1034,pf_649bc549f30f,Injectables,Dermal Filler,Hyaluronic Acid,Hyaluronic Acid,official_evidence_promoted,"seed_from_workbook, official_evidence_promoted",0,0,0,0,0,0,0,1,1,0,,,https://mp.weixin.qq.com/s/0NiHLEMxBuJgpZmpo6anKw,registration_project_nmpa_supplement_product_line:1; official_nmpa_record_user_directed_product_line:1,no_direct_official_product_or_family_url | no_direct_spec_candidate,Keep as lower-priority monitoring item.
P2,30,Across,5,,Revolax,HA Dermal Fillers,prod_48d9e846b0fc,REC_0615,pf_b3c59111bcff,Injectables,Dermal Filler,Hyaluronic Acid,Hyaluronic Acid,official_product_and_spec_cross_checked,"seed_from_workbook, official_product_document, official_product_page, official_spec_candidate",10,0,54,0,2,52,10,0,0,18,http://across.kr/eng/sub/sub02_06.php,http://across2013.koreasme.com/,https://thesalonmagazine.co.uk/revolax-with-lidocaine-is-a-ce-marked-medical-device/,ce_notified_body_certificate:5; official_search_excerpt_spec_candidate:4; official_site_spec_candidate:1,no_registration_evidence | no_official_indication | has_review_leads,"Review regulator/CE/FDA candidates; promote only official certificate, IFU, FDA, EUDAMED, or label evidence."
P2,30,Across,5,,The Chaeum,HA Dermal Fillers,prod_db526d37c263,REC_0693,pf_cc06c722ca36,Injectables,Dermal Filler,Hyaluronic Acid,Hyaluronic Acid,official_product_and_spec_cross_checked,"seed_from_workbook, official_product_document, official_product_page, official_spec_candidate",15,0,108,0,24,84,26,0,0,18,http://across.kr/eng/sub/sub02_06.php,http://www.across.kr/,http://across.kr/eng/sub/sub02_05.php,official_site_spec_candidate:5; ce_notified_body_certificate:5,no_registration_evidence | no_official_indication | has_review_leads,"Review regulator/CE/FDA candidates; promote only official certificate, IFU, FDA, EUDAMED, or label evidence."
P2,30,Across,5,,Volus 10,HA Dermal Fillers,prod_a064e42b320b,REC_0758,pf_b17e3756d85b,Injectables,Dermal Filler,Hyaluronic Acid,Hyaluronic Acid,official_product_and_spec_cross_checked,"seed_from_workbook, official_product_document, official_product_page, official_spec_candidate",12,0,95,0,25,70,12,0,0,18,http://across.kr/eng/sub/sub02_06.php,http://across.kr/eng/sub/sub02_06.php,"https://laegemiddelstyrelsen.dk/da/udstyr/sikkerhedsmeddelelser/2021/03/-across-co,-ltd-tilbagetraekker-cross-linked-hyaluronic-acid-soft-tissue-filling-gel/~/media/06A17BF177984E18B440C376F4126B9D.ashx",official_search_excerpt_spec_candidate:5; ce_notified_body_certificate:5,no_registration_evidence | no_official_indication | has_review_leads,"Review regulator/CE/FDA candidates; promote only official certificate, IFU, FDA, EUDAMED, or label evidence."
