queue_id,priority,source_table,source_row_key,triage_bucket,product_id,seed_record_id,company_id,company,brand,jurisdiction,regulator,regulatory_pathway,status,registration_no,approval_date,registered_name,source_type,source_key,source_url,evidence_title,review_status,confidence,suggested_action,generated_at
registration-153,P1,registration_evidence,153,new_product_candidate_resolution,,,co_a6a6f5b16ba5,Candela,Candela,US,FDA,510(k),Substantially Equivalent,K033331,2004-01-16,CANDELA CBEAM PULSE DYE LASER SYSTEM,official_api,fda_openfda_510k,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K033331,K033331 · CANDELA CBEAM PULSE DYE LASER SYSTEM,manual_new_product_candidate,manual_verified_fda_new_product_candidate,"Decide promote-to-product, merge-to-existing product, or exclude/out-of-scope.",2026-06-16T16:30:07+08:00
registration-205,P1,registration_evidence,205,new_product_candidate_resolution,,,co_a48a6103f37e,Classys,,US,FDA,510(k),Substantially Equivalent,K253123,2025-11-20,CuRAS hybrid,official_api,fda_openfda_510k,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K253123,K253123 · CuRAS hybrid,manual_new_product_candidate,manual_verified_fda_new_product_candidate,"Decide promote-to-product, merge-to-existing product, or exclude/out-of-scope.",2026-06-16T16:30:07+08:00
registration-200,P1,registration_evidence,200,new_product_candidate_resolution,,,co_78d004d00c9c,Cutera,,US,FDA,510(k),Substantially Equivalent,K122493,2013-05-15,GENESISPLUS,official_api,fda_openfda_510k,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K122493,K122493 · GENESISPLUS,manual_new_product_candidate,manual_verified_fda_new_product_candidate,"Decide promote-to-product, merge-to-existing product, or exclude/out-of-scope.",2026-06-16T16:30:07+08:00
registration-199,P1,registration_evidence,199,new_product_candidate_resolution,,,co_78d004d00c9c,Cutera,Cutera,US,FDA,510(k),Substantially Equivalent,K063867,2007-03-27,CUTERA ER:YSGG LASER HANDPIECE,official_api,fda_openfda_510k,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K063867,K063867 · CUTERA ER:YSGG LASER HANDPIECE,manual_new_product_candidate,manual_verified_fda_new_product_candidate,"Decide promote-to-product, merge-to-existing product, or exclude/out-of-scope.",2026-06-16T16:30:07+08:00
registration-202,P1,registration_evidence,202,new_product_candidate_resolution,,,co_78d004d00c9c,Cutera,Cutera,US,FDA,510(k),Substantially Equivalent,K042165,2004-10-18,CUTERA TABLETOP AESTHETIC PRODUCT,official_api,fda_openfda_510k,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K042165,K042165 · CUTERA TABLETOP AESTHETIC PRODUCT,manual_new_product_candidate,manual_verified_fda_new_product_candidate,"Decide promote-to-product, merge-to-existing product, or exclude/out-of-scope.",2026-06-16T16:30:07+08:00
registration-124,P1,registration_evidence,124,new_product_candidate_resolution,,,co_0f96737d49f7,Cynosure,,US,FDA,510(k),Substantially Equivalent,K150587,2015-07-21,Cortex Laser System,official_api,fda_openfda_510k,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K150587,K150587 · Cortex Laser System,manual_new_product_candidate,manual_verified_fda_new_product_candidate,"Decide promote-to-product, merge-to-existing product, or exclude/out-of-scope.",2026-06-16T16:30:07+08:00
registration-125,P1,registration_evidence,125,new_product_candidate_resolution,,,co_0f96737d49f7,Cynosure,,US,FDA,510(k),Substantially Equivalent,K073394,2007-12-12,SMARTLIPO LASER,official_api,fda_openfda_510k,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K073394,K073394 · SMARTLIPO LASER,manual_new_product_candidate,manual_verified_fda_new_product_candidate,"Decide promote-to-product, merge-to-existing product, or exclude/out-of-scope.",2026-06-16T16:30:07+08:00
registration-123,P1,registration_evidence,123,new_product_candidate_resolution,,,co_0f96737d49f7,Cynosure,Cynosure,US,FDA,510(k),Substantially Equivalent,K950684,1995-08-16,CYNOSURE PHOTOGENICA T10 TATTOO REMOVAL LASER,official_api,fda_openfda_510k,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K950684,K950684 · CYNOSURE PHOTOGENICA T10 TATTOO REMOVAL LASER,manual_new_product_candidate,manual_verified_fda_new_product_candidate,"Decide promote-to-product, merge-to-existing product, or exclude/out-of-scope.",2026-06-16T16:30:07+08:00
registration-126,P1,registration_evidence,126,new_product_candidate_resolution,,,co_0f96737d49f7,Cynosure,Cynosure,US,FDA,510(k),Substantially Equivalent,K011828,2001-09-07,CYNOSURE ACCLAIM DERMATOLOGY LASER,official_api,fda_openfda_510k,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K011828,K011828 · CYNOSURE ACCLAIM DERMATOLOGY LASER,manual_new_product_candidate,manual_verified_fda_new_product_candidate,"Decide promote-to-product, merge-to-existing product, or exclude/out-of-scope.",2026-06-16T16:30:07+08:00
registration-127,P1,registration_evidence,127,new_product_candidate_resolution,,,co_0f96737d49f7,Cynosure,Cynosure,US,FDA,510(k),Substantially Equivalent,K102541,2012-01-26,CYNOSURE CELLULAZE LASER,official_api,fda_openfda_510k,https://www.accessdata.fda.gov/scripts/cdrh/cfdocs/cfpmn/pmn.cfm?ID=K102541,K102541 · CYNOSURE CELLULAZE LASER,manual_new_product_candidate,manual_verified_fda_new_product_candidate,"Decide promote-to-product, merge-to-existing product, or exclude/out-of-scope.",2026-06-16T16:30:07+08:00
